global_step_index,activity,step_index,variation,variation_index,headline,paragraph
14,Make Chiles Rellenos,1,none,2,Roast the chile peppers.,"Sometimes, you can buy the peppers already roasted, especially in areas where chiles are a popular part of local cuisine. You can also buy them online, roasted and frozen.          To roast the chile peppers yourself, put them on the grill or on a gas stove and leave them over the open flame, rotating until they are completely charred. Then rinse them off in cold water, rubbing off the burnt skin. You should now have 20 tender chiles ready to be stuffed."
15,Make Chiles Rellenos,2,none,3,Prepare the batter.,"This can be done while the chiles are roasting. Place a dozen egg whites in a bowl. Using an egg beater, beat the whites until they firm up. When they are firm and white, almost like whipped cream, stir in the egg yolks."
16,Make Chiles Rellenos,3,none,4,Cut an opening in the side of the chile.,"Make it large enough that stuffing can be put in, but not so large that the chile pepper will fall apart. At this point, you can carefully scrape out the seeds with a butter knife to reduce the heat of the pepper, but this is optional."
17,Make Chiles Rellenos,4,none,5,Stuff the chiles.,"Be careful because the soft, roasted chiles are easily torn. Begin with the meat stuffing. Portion out some of the stuffing and fill the chile. When 10 of the chiles are filled, do the same to the remaining chiles with the cheese stuffing. Don't stuff them so much that the slit can't be closed."
18,Make Chiles Rellenos,5,none,6,Pin the chiles with the toothpicks.,It doesn't need to be perfect; it's just to keep any stuffing from falling out while you fry them.
19,Make Chiles Rellenos,6,none,7,Prepare a pan with vegetable oil.,Allow the oil to get hot but keep setting on low.
20,Make Chiles Rellenos,7,none,8,Coat the chiles with the flour.,Coat the the chile peppers with flour to reduce the water content and to create a dry surface for the egg white batter to adhere to.
21,Make Chiles Rellenos,8,none,9,Dip the stuffed chiles in the egg batter.,Be sure to allow some of the batter to drain from the freshly dipped chile so that you don't have a puddle of batter in the oil. Less really is more in this case and will result in an evenly cooked chile.
22,Make Chiles Rellenos,9,none,10,Place the stuffed peppers into the pan.,Allow them to fry. Turn them as the sides turn a light brown color.
23,Make Chiles Rellenos,10,none,11,Serve hot.,Accompany with rice and tortillas.
24,Make Caldo Tlalpeno,0,none,1,Bring the broth to a boil.,"Add 6 cups (1.4 l) of chicken broth to a large saucepan, and heat it over medium-high heat. Allow the mixture to heat until it comes to a boil, which should take approximately 10 minutes.You can use store-bought or homemade broth for the soup.;"
25,Make Caldo Tlalpeno,1,none,2,Poach the chicken in the broth until it’s cooked through.,"Once the broth comes to a boil, add 1 ¼ pound (567 g) whole chicken breast with skin and bones to the pan. Cover the pan, and lower the heat to medium-low. Allow the chicken to heat at a bare simmer for approximately 15 minutes, or until it is cooked through.The best way to tell if the chicken is cooked through is to insert an instant-read thermometer into the thickest part of the meat. It should register 165°F (74°C).You can also tell the chicken is done when the middle is opaque and no longer pink."
26,Make Caldo Tlalpeno,2,none,3,Allow the chicken to cool in the broth.,"When the chicken is cooked through, remove the saucepan from the heat. Let the chicken cool for 10 to 15 in the broth before transferring it to a cutting board. Reserve the broth."
27,Make Caldo Tlalpeno,3,none,4,Remove the skin and bones and shred the chicken.,"Once the chicken is cool enough to handle, use a knife to cut away the skin and remove the meat from the bones. Use a fork or clean fingers to shred chicken, and set it aside for the moment.Cover the chicken with plastic wrap, and store in the refrigerator until it’s time to mix it into the soup."
28,Make Caldo Tlalpeno,4,none,5,"Combine the tomatoes, water, chipotles, serrano pepper, water, and spices.","Add 3 roughly chopped Roma tomatoes, 2 chipotle peppers in adobo, 1 chopped serrano pepper, 3 sliced garlic cloves, 1 small chopped white onion, 1 cup (237 ml) of water, ½ teaspoon (3 g) of salt, ½ teaspoon (1 g) of pepper, 1 teaspoon (1 g) of dried epazote, and 1 teaspoon (1 g) of oregano to a blender. Blend the mixture until it is smooth.If you don’t have a blender, you can puree the mixture in a food processor. Adding the serrano pepper is optional. You can omit it if you prefer a milder soup. Dried epazote is a Mexican herb. You can find it at Latin grocery stores, online retails, and in the international aisle of some general grocery stores. After you blend up the tomato mixture, taste it. Add more salt and pepper if necessary."
29,Make Caldo Tlalpeno,5,none,6,Heat the olive oil in a pot.,"Add 2 tablespoons (30 ml) of olive oil to a large pot. Allow the oil to heat for 2 to 3 minutes on medium-high heat, or until it begins to shimmer.You can substitute vegetable or canola oil for the olive oil if you prefer."
30,Make Caldo Tlalpeno,6,none,7,Add the tomato mixture and bring it to a boil.,"Once the oil is hot, pour the tomato mixture into the pot. Heat the mixture on medium-high until it comes to a boil, which should take about 5 to 7 minutes."
31,Make Caldo Tlalpeno,7,none,8,Reduce the heat and cook the mixture for a few more minutes.,"When the mixture has come to a boil, lower the heat to medium. Allow it to cook for another 5 minutes.The mixture should thicken up slightly at it cooks."
32,Make Caldo Tlalpeno,8,none,9,Mix in the chicken broth.,"When the tomato mixture has thickened a bit, add the chicken broth that you reserved earlier to the pot. Stir well to ensure that it is fully mixed with the tomato mixture.After you mix in the chicken broth, give the mixture a taste. Add salt if necessary."
33,Make Caldo Tlalpeno,9,none,10,Stir in the shredded chicken.,"Once the broth is fully blended with the tomato mixture, add the shredded chicken that you reserved earlier to the pot. Mix well to ensure that the chicken is incorporated throughout the mixture."
34,Make Caldo Tlalpeno,10,none,11,"Add the carrots, green beans, chickpeas, and bay leaves.","When the chicken and tomato mixture are fully combined, mix in 2 carrots that have been cut into ⅛-inch (3-mm) thick slices, ½ pound (225 g) of fresh green beans that have been cut into 1-inch (2.5-cm) pieces, a 19-ounce (539 g) can of chickpeas that have been rinsed and drained, and 2 bay leaves. Let the mixture cook on medium until the carrots soften, which should take approximately 5 to 10 minutes.If you prefer, you can substitute shredded carrots for the slices. Shredded carrots will soften more quickly."
35,Make Caldo Tlalpeno,11,none,12,Mix in the zucchini and cook for 15 minutes more.,"Once the carrots are tender, add a zucchini that’s been cut into ¼-inch (6-mm) thick slices. Allow the soup to cook for another 15 minutes, or until the zucchini has softened too.When the soup is finished cooking, taste it. Add salt if necessary."
36,Make Caldo Tlalpeno,12,none,13,Ladle the soup into bowls and add your desired toppings.,"When the soup is finished cooking, use a ladle to transfer it to individual bowls. Top the soup with diced avocado, shredded Monterey jack, chopped cilantro, diced onion, and/or lime wedges, and serve while it’s still hot.The soup pairs well with warm corn tortillas or tostadas."
37,Make Kolaches,0,none,1,Dissolve the yeast in a quarter cup (2 ounces) of warm milk.,"This is the first step if you are working with active dry yeast. It’s easiest to do this in a measuring cup, because you will be pouring this mixture later. Make sure the yeast is completely dissolved.If you are using instant yeast, you can skip this step and add the instant yeast later.;"
38,Make Kolaches,1,none,2,"Mix the yeast with the milk, butter, eggs, sugar, salt, and flour in a large bowl.","The butter should be softened to room temperature to make this easiest. Pour in the remaining milk, the softened butter, the eggs, the sugar, and salt, as well as the yeast mixture that you created. Then, pour in 1.5 cups of flour and mix everything together thoroughly. If you are choosing to add lemon zest, ground mace, or nutmeg, add that now as well.If you are using instant yeast, you will add that now. After everything is blended, slowly add the remaining flour. You may use exactly four cups, or you may use a little bit more or less. Just make sure that the dough isn’t too sticky or too dry."
39,Make Kolaches,2,none,3,Knead the dough on a floured surface.,"Lightly coat some space on your countertop or table with flour so that the dough doesn’t stick to it. Work the dough with your fingertips so that it becomes smooth and easy to form. After you’ve done this for about five minutes, roll it into one large ball."
40,Make Kolaches,3,none,4,Place the dough in an oiled bowl and let rise.,"Spray a bowl with cooking oil, or pour about a tablespoon of oil into the bottom. Place the large ball of dough into the bowl, and roll it in place so that it’s coated with the oil. Then, it’s time to let the dough rise.Cover your bowl, either with a kitchen towel or with cling wrap. Let it rise in your kitchen (or any warm place) for about two to three hours. You can also let it rise overnight in your refrigerator, if that is easier."
41,Make Kolaches,4,none,5,Knead dough and allow to rise again.,"After the dough has almost doubled in volume, you want to push it down into the bowl and gently knead again. Then put the cover back on, set it aside once again, and let it double in size over about an hour and fifteen minutes. When the time has passed and the dough has risen again, knead it, split it into two halves, and let it rise a final time for about ten minutes. Finally, your dough is ready.Making kolache dough takes patience, but it’s key that it has time to rise fully and bulk up. This creates the chewy, dense dough that kolaches are known for."
42,Make Kolaches,5,none,6,Roll out your dough on a floured surface.,"Once again, sprinkle some flour on a flat surface to prevent your dough from sticking to it. Using a rolling pin, flatten out your dough so that it is about 1/2 inch (1.27 cm) thick."
43,Make Kolaches,6,none,7,Cut your dough into rounds.,"Each round should be about 2.5 inches (6.35 cm) across. The easiest way to create these rounds is to use a cookie cutter, but you can also use the rim of a proper-sized glass. Press the cookie cutter or the rim of the glass firmly into the dough, and then peel up the dough around the circle.Roll your excess dough into a ball, and then use your rolling pin to flatten it out onto the floured surface again. Cut out the rounds, and then roll the excess dough up again. Continue doing this until you’ve used all your dough."
44,Make Kolaches,7,none,8,Place your dough rounds on a baking sheet.,"You can line your baking sheet with parchment paper or grease it to make sure the dough doesn’t stick to it. Once again, cover the dough with a kitchen towel or cling wrap. Set the baking sheet aside and let the dough rise again for about an hour."
45,Make Kolaches,8,none,9,Make the indentations in the dough.,"Once the dough has risen and each round has doubled in size, it is time to make the indentations in the middle. This step basically makes dough round into a little bowl that will hold the topping as they bake.Use your thumb or a small spoon to press down gently into the center of each round. Make sure that you don’t make the indentations too large – each round should still have about a 0.5 inch (1.27 cm) rim around the perimeter."
46,Make Kolaches,9,none,10,Make a cherry topping for your kolaches.,"Mix the sugar, cornstarch, and cherry juice in a saucepan. Use a wooden spoon to stir until everything is thoroughly mixed. Put the saucepan on the stove and set it to medium heat. Once the mixture starts boiling and thickening up, turn off the heat and add the pitted cherries."
47,Make Kolaches,10,none,11,Prepare a blueberry topping.,"Mix the sugar, cornstarch, salt, blueberries and lemon juice together in a saucepan. Turn the stovetop to medium heat to warm the mixture while continuously stirring. Once the sugar has dissolved, turn the heat on your stovetop down and let the mixture simmer for about ten minutes. The final product should be fairly thick."
48,Make Kolaches,11,none,12,Create a sweet apricot topping.,"This one will take a bit longer than the cherry and blueberry toppings. You’ll need to simmer the dried apricots and the orange juice in a saucepan for about half an hour, or until soft. Then, drain the orange juice and put the tender apricots into a food processor to puree with sugar and lemon juice. Once the mixture is nice and smooth, it’s all set."
49,Make Kolaches,12,none,13,Explore the dozens of other topping options.,"While a fruit topping is the traditional topping, it is certainly not the only one you can make. Other common variations are poppyseed and cream cheese kolaches. You can even make savory kolaches with different types of breakfast meats. Don’t be afraid to get creative!"
50,Make Kolaches,13,none,14,Preheat your oven.,"Set it to 375 degrees Fahrenheit, or 190 degrees Celsius.It’s good to do this before you start adding your toppings to the dough, so that it will be ready to go once you are finished. Depending on your oven, it will take about ten to twenty minutes to preheat."
51,Make Kolaches,14,none,15,"Brush each kolache with egg wash. To prepare the egg wash, simply beat one large egg and add a teaspoon (4.93 mL) of milk, cream, or water.","Using a pastry brush, brush it generously onto each of the dough rounds."
52,Make Kolaches,15,none,16,Spoon the toppings into the center indentations.,"You only need to put about a spoonful onto each of the rounds. The indentation should be completely filled with topping.If you don’t use all of the topping you created, it can be refrigerated for up to three days or frozen to use again next time you prepare kolaches."
53,Make Kolaches,16,none,17,Bake your kolaches and serve.,"Put your kolaches in the oven and set the timer for 12 minutes. Keep an eye on the kolaches, though, and take them out when the dough has turned golden brown. Use a spatula to remove your kolaches from the hot baking pan and let them cool on a wire rack or another surface. Serve immediately and enjoy!You can store uneaten kolaches at room temperature for about two days after making them. If you won’t eat them for awhile, you can pop them in the freezer and save them for up to three months."
54,Make Kolaches,17,none,18,Finished.,
55,Make Hush Puppies,0,none,1,Preheat a deep fryer to 365 °F (185 °C) or heat up 2 cups oil over medium-high heat.,"The most common oil used is peanut, but vegetable, sunflower, or canola oil will do as well. As the oil warms to its appropriate heat, start mixing up ingredients.   If you don't have a deep fryer, don't worry. You can use a piece of bread to check your oil's temperature as well.;"
56,Make Hush Puppies,1,none,2,"Sift the dry ingredients -- flour, cornmeal, salt, sugar, baking soda and powder -- together.",Use a fork or whisk to make sure everything is evenly mixed in.
57,Make Hush Puppies,2,none,3,Finely dice your large onion and add it to the dry ingredients.,"To dice an onion, cut it in half from end to end and peel off the skin. Cut off the tops -- the long, spindly end -- from each half. Then make long, vertical slices, following the onion's long, visible lines. Finally, cut horizontally across these long cuts to get small squares.   For even smaller pieces, stand the onion up on its end and cut each part in half once more before cutting your squares."
59,Make Hush Puppies,4,none,5,Whisk the egg and water into the buttermilk.,"You want all of your wet ingredients to be together, well mixed, in this separate bowl. It can help to whisk the egg ahead of time so that it is already scrambled."
60,Make Hush Puppies,5,none,6,Add the wet ingredients into the dry ingredients.,"Pour your bowl of buttermilk mixture straight into the flours, salt, and sugar."
61,Make Hush Puppies,6,none,7,"Mix until combined, without any chunks.","You want a batter that is thicker than pancakes, but not so thick that it can't be stirred easily. Once it is all mixed in, stop -- you don't want to over stir. Use a rubber spatula for the best results.   If the batter is very wet and runny, add 1-2 more tablespoons of corn meal. If the batter is thick and difficult to stir, add 1-2 more tablespoons of milk."
62,Make Hush Puppies,7,none,8,"Test the heat of the frying oil, aiming for 365F/185C.","A candy or frying thermometer is easiest, but it is far from your only option. Cut a 1-inch (2.5cm) piece of bread and drop it into the hot oil. If it is completely browned within 60 seconds, your oil is hot enough to fry with.   If the bread browns faster than 60 seconds, turn the heat down. A kernel of popcorn will not pop until it's reached the right temperature, and can be used as another test subject when dropped in oil."
63,Make Hush Puppies,8,none,9,Drop 6-7 pieces of batter into the hot oil using a metal spoon.,"A normal spoon should have the right amount of batter. Dip it in cold water to prevent the dough from sticking, then scoop a roughly 1"" (2.5cm) piece of dough into the hot oil.   Only cook 6-7 pieces at once to prevent cooling the oil with too much cold batter. If the oil gets too cold the puppies will take longer to cook and will come out greasy."
64,Make Hush Puppies,9,none,10,Turn puppies after one minute to ensure that they cook completely.,"Hush puppies will sometimes flip themselves, but if not you can use a slotted spoon to turn them over. This ensures all sides cook evenly."
65,Make Hush Puppies,10,none,11,Fry until golden on all sides.,"If they look nice and golden all over, they are ready to remove. While the exact time will depend on the size of the hush puppy and oil's heat, they shouldn't take longer than 2-3 minutes."
66,Make Hush Puppies,11,none,12,Rest finished hush puppies on a plate of paper towels to drain.,"This removes some of the excess oil from the surface, which helps the outsides cool into a crisp, delicious exterior. Enjoy!"
67,Make Hush Puppies,12,none,13,"Simplify your liquids to just milk and two eggs for a denser, easier hush puppy.","This recipe is much quicker and leads to a heavier treat than the light, airy puppies shown above. To make, simply mix the wet and dry ingredients separately, combine, and then cook as shown above:   Wet ingredients  2 eggs, beaten 1/2 cup milk or buttermilk   Dry ingredients  1 cup all-purpose flour 1 cup + 2 tablespoons self-rising cornmeal 1/2 cup white sugar 1 large onion, finely diced 1 teaspoon salt"
68,Make Hush Puppies,13,none,14,"Consider a denser, all cornmeal variation.","Instead of using a mixture of flour and cornmeal, get a more classic flavor by just using 2 cups of cornmeal. Use 2 eggs instead of 1 to help it hold together better."
69,Make Hush Puppies,14,none,15,Add a shredded green bell pepper for a Cajun/Creole twist.,"Green bell peppers are at the heart of Louisiana cooking, and some Cajun chefs can't do without them. To make them, use a mandolin or sharp knife to cut fine, small strips of pepper and add with the onion."
70,Make Hush Puppies,15,none,16,Throw in 8 ounces of fresh crab meat for crab cake hush puppies.,"To make them, mix the pulled and shredded crab meat into the buttermilk before adding to the dry ingredients. Cut the amount of all-purpose flour in half and cook like normal.One cup of chopped raw shrimp can also be used for a seafood kick. This recipe also goes well with the green bell pepper variation mentioned above."
72,Make Hush Puppies,17,none,18,Bake the hush puppies in a muffin tin at 450F/230C for 10 minutes for a low-fat option.,"Want delicious hush puppies without frying? You can fill a muffin tin with your batter instead of frying to get delicious, puffy hush puppies anytime. Just add 1 tablespoon (15ml) vegetable oil to the batter and stir in to help them cook.   Use cooking spray, oil, or butter to lightly grease the muffin tin."
73,Make Hush Puppies,18,none,19,Finished.,
74,Make Aguachile,0,none,1,Prepare the shrimp.,"Peel, devein, and wash the shrimp. Let them drain for 5 minutes.;"
75,Make Aguachile,1,none,2,Marinate them.,Place the shrimp in a bowl and cover them with the juice of 7 limes or 4 lemons.
76,Make Aguachile,2,none,3,Let them rest.,"Put the bowl with the shrimp in the refrigerator for 20 minutes. They will marinate better if you cover the bowl.   Once the shrimp are marinated, drain them and put them aside for plating."
77,Make Aguachile,3,none,4,Process the ingredients.,"Put the chili peppers, cilantro, and juice of 3 limes (or 2 lemons) in a blender. Process them until you have a uniform mixture."
78,Make Aguachile,4,none,5,Marinate the onion (optional).,Finely slice the onion and place it in a bowl. Cover the slices with the juice of 2 limes (or 1 lemon).
79,Make Aguachile,5,none,6,Prepare the cucumbers.,"Slice the cucumbers; season them with salt, pepper, and a bit of lime juice. Put them aside for plating.   You can also season the cucumbers with chili powder, depending on how spicy you want to dish to be."
80,Make Aguachile,6,none,7,Plate the dish.,"Place all of the ingredients on a platter or large plate.   First, place a layer of cucumbers on the plate. Then, put the shrimp on top. Cover the shrimp with the sliced onion. Pour the chili mixture over the other ingredients."
81,Make Aguachile,7,none,8,Season with salt and pepper to taste.,
82,Make Aguachile,8,none,9,Decorate the edge of the plate with tomato and/or avocado slices.,
83,Make Steak Tartare,0,none,1,Prepare the meat.,Place it into a suitably sized bowl.;
84,Make Steak Tartare,1,none,2,"Add the salt, pepper, and olive oil into the bowl.",
85,Make Steak Tartare,2,none,3,Use your hands to mix everything together well.,
86,Make Steak Tartare,3,none,4,Take about a quarter pound (200 grams) of the seasoned meat and create a ball with it.,Use both of your hands to shape the ball.
87,Make Steak Tartare,4,none,5,Place it on a serving plate.,Press it down lightly with your palm to flatten it.
88,Make Steak Tartare,5,none,6,"Repeat the process with three other servings, until you have a pressed ball of minced steak on each plate.",
89,Make Steak Tartare,6,none,7,Add the egg yolks.,"This step is optional, but if you want yolks included, here is how to add them:   Use the back of a tablespoon to press down on the meat. Make a small indent in the center of the meat. Break the eggs one at a time and place an egg yolk in the indent. Repeat for all the meat."
90,Make Steak Tartare,7,none,8,Add the garnishes.,"Add some mayonnaise, capers, and onions to each plate.   Spread some chopped parsley on the dish."
91,Make Steak Tartare,8,none,9,Serve.,Serve immediately after making.
92,Make Salbutes,0,none,1,Mix the masa dough.,Measure 2 cups (228 g) of corn flour (masa) into a large mixing bowl. Pour in 1 1/4 cups (295 ml) of water and use your hands to mix the water into the corn flour. This should make a dough that's thick like a paste.You can purchase pre-made masa dough. Just follow the manufacturer's instructions for rolling and frying it.;
93,Make Salbutes,1,none,2,Combine the red recado with water.,"Get out one ball of red recado and place it in a prep bowl. Add a few tablespoons of water or enough liquid to thin out the recado, so it's just a little thick.If you can't find red recado paste, you can use red recado powder or ancho chili powder."
94,Make Salbutes,2,none,3,Mix and knead the dough.,"Spoon the red recado into the mixing bowl with the masa dough. Use your hands to mix and knead the recado into the dough. Continue to knead (stretch) the dough for several minutes, so the dough becomes smooth.  The masa dough should turn slightly red once you add the red recado."
95,Make Salbutes,3,none,4,Portion the dough and roll it into balls.,Divide the masa dough into small balls. Roll each ball between the palms of your hand to smooth them out. Each ball should be about 2-inches (5 cm) in size. Set the balls aside to rest while you heat the oil and prepare the salbutes toppings.
96,Make Salbutes,4,none,5,Heat the oil and press the tortillas.,"Pour enough vegetable or coconut oil into a skillet or frying pan, so the oil comes 2-inches (5 cm) up the sides of the pan. Heat the oil over medium-high heat while you press the masa tortillas.The oil is hot enough once a drop of water in the pan sizzles or pops."
97,Make Salbutes,5,none,6,Press the masa tortillas.,"Place a ball of masa dough in the center of a tortilla press. Put the lid of the press down and press firmly on the handle of the press, so you put great pressure on the dough. When you open the press, you should see a flattened disk of masa dough.Repeat this with the other balls of dough."
98,Make Salbutes,6,none,7,Fry one or two masa tortillas in the hot oil.,"Place one or two masa tortillas into the hot oil at a time. They should immediately begin to bubble and fry around the edges. Use tongs or a slotted spoon to carefully flip the tortillas over after about 30 seconds, so they fry on the other side. Finish frying the tortillas for another 30 seconds to one minute.Remember to let the oil heat back up in between batches of tortillas. If you crowd the pan with too many tortillas, they'll take longer to fry and will absorb more oil."
99,Make Salbutes,7,none,8,Season and shred the chicken.,"You can purchase cooked chicken and shred it apart using two forks. Season the shredded chicken with one ball of red recado that you've diluted with a little water.You can also roast, braise, or poach the chicken yourself. Save any of the pan juices for pickling the onions."
100,Make Salbutes,8,none,9,Cut the produce.,"Wash two or three tomatoes, half a head of lettuce, and two red onions. Use a sharp knife to carefully slice the tomatoes. Set the tomatoes in a prep bowl. Chop the lettuce and put it in another bowl. Slice the red onions and put them in another bowl.Keeping the veggies separate will make it easier to assemble the salbutes, especially if people want to create their own."
101,Make Salbutes,9,none,10,Make quick pickled onions.,"If you'd like to make quick pickled onions, bring 2 cups (470 ml) of chicken broth to a boil over high heat in a small saucepan. Add the sliced red onion and let them boil for about one minute. Have a bowl of ice water next to your work surface. Drain the onions and immediately submerge them in the ice water until they're cold. Use a slotted spoon to lift the blanched onions out of the water and put them in a bowl with 1 cup (236 ml) of distilled white vinegar until you're ready to serve them.If you're short on time, you could just serve the raw, sliced onions."
102,Make Salbutes,10,none,11,Assemble the salbutes.,"Set a fried masa tortilla on a serving plate and spread a few tablespoons of the shredded chicken over the tortilla. Top the chicken with some of the pickled onion, a little chopped lettuce, and a few slices of the fresh tomato. You could also serve the salbutes with:Shredded cabbage Chopped cilantro Sauce flavored with recado Chopped hot peppers"
103,Make a Cuban Sandwich,0,none,1,Cut a fresh loaf of Cuban bread lengthwise.,"Cuban bread is long and thin, and turns crisp in the panini press without getting uncomfortably hard. You can find similar bread at a Latin bakery. The next best substitute is a long, soft French or Italian loaf (but nothing as narrow and hard as a baguette), followed by a hoagie roll.Cut it about 7 inches (17.8 cm) long, or to a size that matches your appetite.   Leave one long edge of the bread intact for a tidier sandwich.;"
104,Make a Cuban Sandwich,1,none,2,Brush butter on the outside of the bread.,"This will stop it from sticking to the sandwich press. It's easiest to do this before adding the ingredients.If you're using nonstick cooking spray instead, spray it on the inside of the sandwich press."
105,Make a Cuban Sandwich,2,none,3,Spread the yellow mustard.,"Spread about 2 tbsp (30 mL) of regular yellow mustard evenly over both sides of the bread.Almost all recipes include mustard, but you can serve it on the side if you're using extra-flavorful pork."
106,Make a Cuban Sandwich,3,none,4,Add cheese to both sides.,"Cover both halves of the bread with mild Swiss cheese.Many traditional recipes use an equal ratio of cheese, ham, and pork, but you can cut the slices thinner if you prefer."
107,Make a Cuban Sandwich,4,none,5,Cover one side with dill pickles.,"Slice two large dill pickles to make eight or ten long, thin slices (or buy them pre-cut into ""sandwich stuffers""). Lay these onto one side of your sandwich."
108,Make a Cuban Sandwich,5,none,6,Add a layer of ham slices.,"Fold four slices of very thin ham over the pickles. You can use any ham you like, but the most traditional choice is a mild, sweet-cured ham such as York ham, bolo ham, or any honey-cured ham.You can even bake a ham with a home-made honey glaze."
109,Make a Cuban Sandwich,6,none,7,Pile on the roast pork.,"Now for the star of the show. Warm several slices of roast pork in a pan over low heat, then add it to the sandwich.For extra flavor, use pork marinated in Cuban mojo sauce, or drizzle on the sauce in the pan. The sauce's main ingredients are garlic and sour orange (or orange, lemon, and lime where sour orange isn't available).You can use pulled pork if you don't have any sliced pork."
110,Make a Cuban Sandwich,7,none,8,Heat a sandwich press or similar tool.,"Although traditional Cuban sandwiches are made with a grill press called a plancha, most cooks outside of Florida have to make do with one of these options:   Sandwich press or panini maker Waffle iron, with the metal plates flipped so their flat sides are inward (if possible) Griddle or frying pan, with a heavy cast iron skillet or foil-wrapped brick to press the sandwich down"
111,Make a Cuban Sandwich,8,none,9,Press the sandwich.,"Once the press is hot, put in the sandwich and press it down to about a third of its original thickness. Cook the Cuban sandwich until the bread is brown and slightly crisp, and the cheese is melted. This usually takes two or three minutes on each side.   Remember to butter the bread or add nonstick spray to the press surface if you didn't do it earlier. If the sandwich is falling apart or a little too large for the sandwich press, wrap it in foil."
112,Make a Cuban Sandwich,9,none,10,Make a medianoche.,"The medianoche (""midnight"") has the same filling as the Cubano, but placed on smaller pieces of a sweet, yellow egg bread. If you don't live near a bakery that sells pan suave (or the Mexican version, pan dulce), use challah rolls."
113,Make a Cuban Sandwich,10,none,11,"Add salami, Tampa-style.","In Tampa, Florida, some people make Cuban sandwiches with an Italian flair. Add a layer of Genoa salami between the ham and pork to try it out (but don't tell the sandwich purists in Miami)."
115,Make a Cuban Sandwich,12,none,13,Grill the ham.,"To add a little sear, grill the sandwich open-face for a minute or two, with the ham touching the grill. Do this before adding the pork and pressing as usual."
116,Make Bacon Wrapped Scallops,0,none,1,Choose your scallops.,"You want large scallops which are nice and white. They shouldn’t be too wet or too dry. Look for a uniform shape, as opposed to scallops that look shredded and destroyed These are signs that they have been mishandled.Most are wet-packed, but dry-packed and diver-caught scallops are higher quality. Any of these will work. Avoid using frozen scallops for this recipe.;"
118,Make Bacon Wrapped Scallops,2,none,3,Remove the muscle.,"Often times, the scallops you purchase will already have the muscle removed. If your scallops still have the muscle attached, pull it off. Grasp it between your thumb and forefinger and tear it away.The muscle is a rectangular tab attached to the body of the scallop. The muscle is tougher than the rest of the scallop, making it less desirable to eat."
119,Make Bacon Wrapped Scallops,3,none,4,Cut the bacon strips in half.,"Lie the bacon strips on a cutting board. Using a sharp kitchen knife, cut the strips in half so that the strips are half their original length. This way the bacon will wrap around the scallop more evenly with less overlap."
120,Make Bacon Wrapped Scallops,4,none,5,Wrap the bacon around the scallop.,"Place one end of the strip of bacon on the side of the scallop. Wrap the bacon all the way around the side of the scallop until the ends of the strip of bacon overlap.For crispier bacon, partially cook the bacon before wrapping the scallops. Heat the oven to 350 degrees. Cover a baking sheet in parchment paper and lay the strips of bacon out on the paper. Cook the bacon for 12-15 minutes until it starts to become golden brown. Don't cook it so long that it begins to get crisp and lose its flexibility."
